dobih_number,os_id,dobih_name,os_name
15097,osgb4000000074618922,Roundton West Top,Roundton
15098,osgb4000000074616977,Celynog Hill,Celynog Hill
15103,osgb4000000074621404,Bryn y Castell,Bryn y Castell
15107,osgb4000000074597121,Carn Menyn,Carn Menyn
15108,osgb4000000074616237,Pen Lifau,Pen Lifau
15110,osgb4000000074618576,Foel Drygarn,Foeldrygarn
15113,osgb4000000074621792,Moel Caetwpa,Moel Caetwpa
15116,osgb4000000074621793,Pen Coed,Pen Coed
15123,osgb4000000074617360,Little Mountain,Little Mountain
15125,osgb4000000074599205,Mynydd Llanfihangel-rhos-y-corn,Mynydd Llanfihangel-rhos-y-corn
15126,osgb4000000074621707,Rhuddallt,Rhuddallt
15127,osgb4000000074619306,Little Hill,Little Hill
15129,osgb4000000074810299,Moelfre,Moelfre
15133,osgb4000000074599220,Tarren Tyn-y-maen,Tarren Tyn-y-maen
15136,osgb4000000074621724,Pen y Bannau,Pen y Bannau
15145,osgb4000000074617357,Garth Hill,Garth Hill
15153,osgb4000000074616258,Fron Ddu,Fron Ddu
15166,osgb4000000074619762,Cefn Isaf,Cefn Isaf
15172,osgb4000000074616644,Gorn Hill,Gorn Hill
15173,osgb4000000074617743,Gobe Banks,Gobe Banks
15175,osgb4000000074622239,Twyn y Garth,Twyn y Garth
15185,osgb4000000074616972,Town Hill,Town Hill
15187,osgb4000000074599421,Penpegws,Penpegws
15188,osgb4000000074617433,Moel Golomen,Moel Golomen
15194,osgb4000000074772725,Goetre Hill,Goetre Hill
15202,osgb4000000074618600,Rhos Garn Whilgarn,Rhos Garn Whilgarn
15206,osgb4000000074772694,Todleth Hill,Todleth Hill
15216,osgb4000000074618574,Frenni Fach,Freni Fach
15218,osgb4000000074775881,Pant y Ffridd,Pant-y-ffridd Hill
15222,osgb4000000074621721,Moelfre,Moelfre
15227,osgb4000000074618601,Pen Moel Dihewyd,Pen Moel Dihewyd
15233,osgb4000000074618186,Pen Blaen-cribor,Blaen Cribor
15235,osgb4000000074592246,Pen y Garn,Pen y Garn
15237,osgb4000000074618189,Carn Wen,Carn Wen
15240,osgb4000000074608156,Craig Caerhedyn,Craig Caerhedyn
15242,osgb4000000074599213,Pen Lan-dolau,Pen Lan-dolau
15254,osgb4000000074618185,Moel y Mor,Moel y Môr
15260,osgb4000000074618188,Gernos Mountain,Gernos Mountain
15263,osgb4000000074612155,Moel y Sant,Moel y Sant
15271,osgb4000000074618209,Foel Fawr,Foel Fawr
15273,osgb4000000074594021,Cefn Mawr,Cefn Mawr
15278,osgb4000000074594637,Esgair-maen-fach,Esgair Maen Fâch
15280,osgb4000000074775905,Broniarth Hill,Broniarth Hill
15281,osgb4000000074616974,Highgate Hill,Highgate Hill
15295,osgb4000000074617409,Banc y Moelfre,Banc y Moelfre
15300,osgb4000000074618055,Pencoed-y-foel,Pen Coed-y-foel
15301,osgb4000000074596140,Pen Pant-y-ffynnon,Pant-y-ffynnon
15317,osgb4000000074618969,Mynydd Crogwy,Mynydd Crogwy
15318,osgb4000000074775973,Kempster's Hill,Kempster's Hill
15348,osgb4000000074623856,Ysgubor Mountain,Ysgubor Mountain
15366,osgb4000000074612521,Gaer-fawr Hill,Gaer-Fawr Hill
15371,osgb4000000074615879,Copa Shon,Copa Shôn
15374,osgb4000000074599324,Penmoelciliau,Pen Moel-ciliau
15416,osgb4000000074616483,Carn Gelli,Carn Gelli
15431,osgb4000000074615855,Moelfre,Moelfre
15439,osgb4000000074594019,Cefn-wig,Cefn Wig
15457,osgb4000000074596441,Pen y Bank,Pen y Bank
15465,osgb4000000074596444,Pen Bwlch-mawr,Pen-y-Cwarel
15466,osgb4000000074617414,Marros Mountain,Marros Mountain
15479,osgb4000000074593691,Pen Ffynnoncyff,Ffynnon Cŷff
15480,osgb4000000074617412,Merlin's Hill,Merlin's Hill
15487,osgb4000000074594642,Llanddewi Gaer,Llanddewi Gaer
15488,osgb4000000074619359,Banc y Warren,Banc-y-Warren
15490,osgb4000000074623858,Pen Pwll Melyn,Pen Pwllmelyn
15510,osgb4000000074771857,Tre-Vaughan Hill,Tre-Vaughan Hill
15523,osgb4000000074593330,Boltonhill,Bolton Hill
15531,osgb4000000074623760,Carnysgubor,Carnysgubor
15543,osgb4000000074617410,Sir John's Hill,Sir John's Hill
15550,osgb4000000074623758,Gorse Hill,Gorse Hill
15563,osgb4000000074595869,Golden Hill,Golden Hill
15577,osgb4000000074623657,North Hill,North Hill
15599,osgb4000000074607940,Cefn y Rhondda,Cefn y Rhondda
15601,osgb4000000074617790,Pen Bwlch y Ddeuwynt,Bwlch y Ddeuwynt
15602,osgb4000000074620541,Drum Ddu,Drum Ddu
15603,osgb4000000074607519,Cefn Gwyngul,Cefn Gwyngul
15607,osgb4000000074623048,Garn Ddu,Garn Ddu
15608,osgb4000000074623047,Cefn Cil-Sanws,Cefn Cilsanws
15609,osgb4000000074622925,Mynydd Aberdar,Mynydd Aberdar
15610,osgb4000000074599773,Rhymney Hill,Rhymni Hill
15613,osgb4000000074599288,Twyn Rhyd-car South Top,Twyn Rhyd-car
15614,osgb4000000074599597,Mynydd Cilfach-yr-encil,Mynydd Cilfach-yr-encil
15617,osgb4000000074607945,Coetgae Isaf,Coetgae Isaf
15622,osgb4000000074622240,Cefn Clawdd,Cefn Clawdd
15624,osgb4000000074620536,Cefn Trum yr Hwch,Cefn Trum yr Hwch
15628,osgb4000000074592081,Mynydd Ty'n-tyle,Mynydd Ty'n-tyle
15630,osgb4000000074615501,Cribarth,Cribarth
15631,osgb4000000074619757,Foel Darw,Foel Darw
15633,osgb4000000074599267,Cefn Bola-maen,Cefn Bola-maen
15634,osgb4000000074608487,Twmbarlwm,Twmbarlwm
15635,osgb4000000074591998,Mynydd Pen-y-graig,Mynydd Pen-y-graig
15641,osgb4000000074608907,Twyn Brynbychan,Twyn Brynbychan
15643,osgb4000000074599611,Mynydd Pen-y-fan,Mynydd Pen-y-fan
15644,osgb4000000074620537,Cefn Merthyr Cynog,Cefn Merthyr Cynog
15648,osgb4000000074619357,Cefn Llechid,Cefn Llechid
15651,osgb4000000074762661,Battle Hill,Battle Hill
15654,osgb4000000074599278,Mynydd-y-glog,Mynydd-y-glog
15655,osgb4000000074619756,Mynydd Bach East Top,Mynydd Bach
15661,osgb4000000074623053,Morlais Hill,Morlais Hill
15670,osgb4000000074619358,Twyn y Gaer,Twyn y Gaer
15672,osgb4000000074602455,Foel y Dyffryn,Foel y Dyffryn
15681,osgb4000000074608904,Mynydd Eglwysilan,Bwlch Carn-y-Gelli
15684,osgb4000000074618573,Bryn Mawr,Bryn Mawr
15686,osgb4000000074602456,Foel Fawr,Foel Fawr
15690,osgb4000000074618958,Pentwyn Mawr,Pentwyn Mawr
15693,osgb4000000074623663,Pen y Foel,Pen y Foel
15694,osgb4000000074592238,Mynydd Troed-y-rhiw,Mynydd Troed-y-rhiw
15696,osgb4000000074620928,Sugar Loaf,Sugar Loaf
15702,osgb4000000074769323,Twyn Llechfaen,Twyn Llechfaen
15703,osgb4000000074623152,Buckland Hill,Buckland Hill
15706,osgb4000000074608790,Mynydd y Gaer,Mynydd-y-Gaer
15708,osgb4000000074620149,Cefn Arthen,Cefn Arthen
15711,osgb4000000074602878,Cefn Morfudd,Cefn Morfudd
15718,osgb4000000074606677,Mynydd y Gaer,Mynydd y Gaer
15719,osgb4000000074592237,Twyn y glog,Twyn y glog
15722,osgb4000000074592140,Mynydd Pen-rhys,Mynydd Pen-rhys
15725,osgb4000000074622077,Drostre Bank,Drostre Bank
15728,osgb4000000074622666,Campston Hill,Campston Hill
15730,osgb4000000074607640,Golden Hill,Golden Hill
15733,osgb4000000074618569,Mynydd Gellionnen,Mynydd Gellionnen
15739,osgb4000000074593668,Pen-y-commin,Pen-y-commin
15743,osgb4000000074608786,Moel y Fen,Moel y Fen
15749,osgb4000000074606678,Mynydd Baedan,Mynydd Baedan
15752,osgb4000000074762682,Star Hill,Star Hill
15754,osgb4000000074593051,Slwch Tump,Slwch Tump
15757,osgb4000000074622524,Craig-y-dorth,Craig-y-Dorth
15763,osgb4000000074619354,Carn Goch,Carn Goch
15778,osgb4000000074592013,Mynydd Troed-y-rhiw,Moel Troed-y-rhiw
15781,osgb4000000074608069,Mynydd Rudry,Mynydd Rudry
15788,osgb4000000074596439,Pen-pal,Pen-Pàl
